poll_id,title,question,options,is_anonymous,allows_multiple_answers,schedule_type,days,time_local,target_chat_id,message_thread_id,is_active
1,Манеж,ИДУ В ПОНЕДЕЛЬНИК В МАНЕЖ,1 отделение|2 отделение|3 отделение|Не иду 1 отделение|Не иду 2 отделение|Не иду 3 отделение,false,false,weekly,SUN,08:00,-1002405722885,-1002405722885,true
2,Вуц среда,ИДУ В СРЕДУ В ВУЦ,1 отделение|2 отделение|3 отделение|Не иду 1 отделение|Не иду 2 отделение|Не иду 3 отделение,false,false,weekly,TUE,08:00,-1002405722885,-1002405722885,true
3,ВУЦ ПЯТНИЦА,ИДУ В ВУЦ В ПЯТНИЦУ,1 отделение|2 отделение|3 отделение|Не иду 1 отделение|Не иду 2 отделение|Не иду 3 отделение,false,false,weekly,THU,08:00,-1002405722885,-1002405722885,true
